::ffff:127.0.0.1 - - [12/Mar/2026 20:13:35] "GET / HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET / HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /styles.css HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /overview-risk-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /app.js HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [12/Mar/2026 21:46:52] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET / HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /styles.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /overview-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:27] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /app.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:28] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET / HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /styles.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:37] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /overview-risk-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /app.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [13/Mar/2026 22:15:38] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 02:08:08] "GET /audit-module.js HTTP/1.1" 200 -
