::ffff:127.0.0.1 - - [12/Mar/2026 20:13:35] "GET / HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET / HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /styles.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /risk-explanation.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /facility-data.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /facility-map.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /facility-logic.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /facility-calendar.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /role-system.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /app.js HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [13/Mar/2026 06:11:22] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /risk-explanation.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /facility-data.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /facility-map.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /facility-logic.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /facility-calendar.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /role-system.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:19:29] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /risk-explanation.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /facility-data.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /facility-map.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /facility-logic.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /facility-calendar.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /role-system.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /shared-roles.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 04:36:13] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [16/Mar/2026 13:45:12] "GET / HTTP/1.1" 200 -
