"mmsi","name","timestamp","lat","lon"
"257142900","FROEY","2026-03-16T15:50:48+00:00",,
"257183400","FROEY","2026-03-16T15:48:21+00:00",,
"259032670","FROEY","2026-03-16T15:49:25+00:00",,
"258610000","FROEY CHALLENGER","2026-03-16T15:52:37+00:00",,
"257009680","FROEY NJORD","2026-03-16T15:52:01+00:00",,
"258024810","FROEYA","2026-03-16T15:51:01+00:00","68,399568","16,825993"
"257470500","FROEYBANKEN","2026-03-16T15:50:51+00:00",,
"257208500","FROEYFART","2026-03-16T15:45:35+00:00",,
"257092350","FROEYGARD","2026-03-16T15:47:12+00:00",,
"259027520","FROEYLAKS","2026-03-16T15:53:02+00:00","61,911502","5,180192"
"257743600","FROEYSKARV","2026-03-16T15:48:44+00:00",,
"258230000","FROEYTRANS","2026-03-16T15:50:06+00:00",,
"257017390","FROY BAS","2026-03-16T15:47:37+00:00",,
"257916600","FROY FIGHTER","2026-03-16T15:53:02+00:00","63,366453","8,402633"
"257059140","FROY FINNMARK","2026-03-16T15:53:01+00:00","70,775095","27,220498"
"257170000","FROY HARVEST","2026-03-16T15:48:03+00:00",,
"258002430","FROY HILD","2026-03-16T15:52:59+00:00","69,50315","18,362422"
"257096170","FROY JUNIOR","2026-03-16T15:52:56+00:00","63,381123","8,202712"
"259030410","FROY LEADER","2026-03-16T15:52:53+00:00","61,15656","5,137247"
"259027590","FROY MASTER","2026-03-16T15:53:02+00:00","63,615685","9,131627"
"257088160","FROY NEPTUN","2026-03-16T15:52:02+00:00","63,557272","9,40711"
"259000410","FROY NORDKAPP","2026-03-16T15:51:26+00:00",,
"258031070","FROY OCEAN","2026-03-16T15:50:22+00:00",,
"257917000","FROY SAGA","2026-03-16T15:47:22+00:00",,
"257700800","FROY SERVER","2026-03-16T15:51:40+00:00",,
"257088720","FROY SKULD","2026-03-16T15:51:35+00:00",,
"257088090","FROY STADT","2026-03-16T15:52:57+00:00","62,337598","6,379812"
"259027820","FROY SUPPLIER","2026-03-16T15:48:51+00:00",,
"257133930","FROY SUPPORTER","2026-03-16T15:52:58+00:00","63,61739","8,991887"
"257171000","FROY VALKYRIEN","2026-03-16T15:52:43+00:00",,
"257077100","FROYA","2026-03-16T15:51:02+00:00",,
"257081000","FROYA","2026-03-16T15:53:04+00:00","57,820453","8,056417"
"257605000","FROYA","2026-03-16T15:53:03+00:00","61,610407","5,009033"
"257306400","FROYAFERGA","2026-03-16T15:52:57+00:00","63,798908","8,679217"
"259028000","FROYANES","2026-03-16T13:00:13+00:00",,
"257489000","FROYANES JUNIOR","2026-03-16T12:36:04+00:00",,
"258019240","FROYBRAND","2026-03-16T15:50:52+00:00","63,944143","9,876968"
"257944800","FROYDIS","2026-03-16T14:48:30+00:00",,
"259004930","FROYDIS","2026-03-16T15:30:13+00:00",,
"257956600","FROYGUTT","2026-03-16T15:50:35+00:00","63,6507","8,799322"
"258020350","FROYHAV","2026-03-16T14:31:13+00:00",,
"259026980","FROYLIN","2026-03-16T15:47:56+00:00",,
"257844600","FROYLYS","2026-03-16T15:51:21+00:00",,
"257123410","FROYMANN","2026-03-16T15:48:15+00:00",,
"257493800","FROYSJO","2026-03-16T15:50:37+00:00",,
"257000260","FROYSPRINT","2026-03-16T15:53:03+00:00","64,860755","11,229497"
"257029850","FROYVIK","2026-03-16T15:50:15+00:00",,
"257518900","FROYVIND","2026-03-16T15:52:20+00:00",,
